id,Start time,Completion time,Email,Name,consent,dept,role,tenure,copilot_access,genai_use,copilot_use,prior_training,Task Fit.My work includes tasks for which Microsoft Copilot could be useful.,Voluntariness.Using Microsoft Copilot in my work would be mostly voluntary rather than required.,age,gender,TR1,TR2,TR3,TR4,IU1,IU2,IU3,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,SI1,SI2,FC1,FC2,Please add any additional comments you might have,Did you receive the Copilot newsletter(s)?,How much of the Copilot newsletter(s) did you read?,Did you attend the Copilot workshop?,"Manipulation Checks.Because of the campaign, I understand better what Copilot can and cannot be used for in my work context.",Manipulation Checks.I know where to find guidance on using Copilot responsibly.,Manipulation Checks.I feel more capable of using Copilot effectively than before the campaign.,Manipulation Checks.I learned practical ways to apply Copilot to my tasks.,"What, if anything, changed in how you think about or use Copilot after the campaign?",TR_comp,IU_comp,PU_comp,PEOU_comp,SI_comp,FC_comp,wave,dept_std,age_std
4,2026-05-05T11:17:02Z,2026-05-05T11:24:12Z,anonymous,NA,"Yes, I agree",Marketing,Employee,0-2 Years,Yes,All the time,Never,Yes,7 - Strongly agree,5 - Somewhat agree,25-34,Female,6,5,5,7,4,6,5,4,5,5,5,6,6,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,5,4.666666666666667,5.666666666666667,5,4.5,0,Other,Under 35
5,2026-05-05T14:16:10Z,2026-05-05T14:19:42Z,anonymous,NA,"Yes, I agree",Management,Manager,7+ Years,Yes,Often,Often,No,6 - Agree,2 - Disagree,35-44,Female,4,6,6,7,7,7,7,7,7,5,6,6,6,4,5,7,1,thank you for this project! Really cool,NA,NA,NA,NA,NA,NA,NA,NA,5.75,7,6.333333333333333,6,4.5,4,0,Other,35-44
6,2026-05-05T14:16:06Z,2026-05-05T14:22:07Z,anonymous,NA,"Yes, I agree",IT,Specialist,7+ Years,Yes,Often,Often,Yes,7 - Strongly agree,5 - Somewhat agree,25-34,Female,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5.666666666666667,6,6,6,0,IT,Under 35
7,2026-05-05T14:18:51Z,2026-05-05T14:22:57Z,anonymous,NA,"Yes, I agree",IT,Specialist,0-2 Years,Yes,Sometimes,Often,No,6 - Agree,4 - Neither agree nor disagree,Under 25,Male,3,4,3,4,5,5,5,6,6,6,6,6,6,NA,NA,3,4,everything good,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5,6,6,NA,3.5,0,IT,Under 35
8,2026-05-05T14:19:08Z,2026-05-05T14:29:51Z,anonymous,NA,"Yes, I agree",Operational Excellence,Specialist,3-7 Years,No,Often,Often,No,6 - Agree,2 - Disagree,Under 25,Female,2,6,5,7,6,7,6,5,7,7,6,6,6,6,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.333333333333333,6.333333333333333,6,6,3.5,0,Other,Under 35
9,2026-05-05T14:27:23Z,2026-05-05T14:30:11Z,anonymous,NA,"Yes, I agree",Finance,Employee,0-2 Years,Yes,Never,All the time,Yes,4 - Neither agree nor disagree,5 - Somewhat agree,25-34,Female,5,3,4,5,7,7,7,4,5,4,7,7,7,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,7,4.333333333333333,7,6,6,0,Finance,Under 35
10,2026-05-05T14:20:40Z,2026-05-05T14:32:22Z,anonymous,NA,"Yes, I agree",IT,Other,0-2 Years,Yes,Often,All the time,No,6 - Agree,7 - Strongly agree,Under 25,Male,5,3,4,3,7,7,7,5,7,6,7,6,6,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,7,6,6.333333333333333,7,6.5,0,IT,Under 35
11,2026-05-05T14:18:04Z,2026-05-05T14:33:58Z,anonymous,NA,"Yes, I agree",IT,Employee,0-2 Years,Yes,Never,Sometimes,Yes,6 - Agree,6 - Agree,25-34,Male,6,5,5,6,5,5,6,5,5,4,6,6,6,4,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.333333333333333,4.666666666666667,6,5,5,0,IT,Under 35
12,2026-05-05T14:23:17Z,2026-05-05T14:36:26Z,anonymous,NA,"Yes, I agree",IT,Employee,7+ Years,Yes,Often,Often,No,6 - Agree,4 - Neither agree nor disagree,55+,Male,5,5,5,6,5,5,6,5,5,6,6,5,6,4,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,5.333333333333333,5.333333333333333,5.666666666666667,5,5.5,0,IT,55+
13,2026-05-05T14:37:56Z,2026-05-05T15:23:19Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,Not sure,Sometimes,Never,No,6 - Agree,4 - Neither agree nor disagree,35-44,Female,6,3,4,6,6,6,6,5,5,5,5,5,5,4,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,6,5,5,4,5.5,0,Sales,35-44
